x y z dx dy dz magnitude
4.74783 4.51103 5.8176 -4.78707 -3.37215 -4.60299 7.44815
11.1856 5.04212 -0.394997 -9.58935 -2.2299 5.07304 11.0754
-5.55535 3.74805 4.76653 11.3642 -0.839546 -4.09262 12.1078
2.00123 -4.66149 7.37653 2.13427 9.72574 -6.35373 11.8116
1.76554 2.17015 4.55842 3.86369 2.6462 -3.26349 5.70797
6.60425 3.50452 0.726672 -5.55325 -0.94719 9.65724 11.1803
2.09304 5.29758 2.06349 2.48311 -3.28011 3.48509 5.39173
2.3592 5.22957 1.88961 1.94151 -3.81693 3.75829 5.69764
11.0218 1.689 1.53817 -16.1978 2.52576 3.32865 16.728
4.16754 1.73235 6.18998 -2.41791 4.12867 -2.5217 5.40844
1.73894 5.47326 4.54475 3.35693 -2.66607 -4.91018 6.51819
4.02128 5.78636 2.1768 -1.51684 -3.53587 4.35821 5.81353
1.82963 4.36381 4.90071 2.61904 1.73793 -2.09701 3.77852
3.76843 1.63293 0.978246 0.965385 5.36243 4.11903 6.83037
5.35484 2.82169 6.65498 -3.76643 0.882991 -0.857531 3.96245
5.42199 2.30524 10.6662 -4.7024 2.12514 -9.55901 10.8629
2.03537 5.14246 5.13909 4.56214 -10.165 -2.75814 11.4782
2.83262 5.79527 2.23429 2.18598 -5.46537 2.86138 6.54494
4.17399 1.77213 1.44143 1.12706 3.03806 2.90512 4.35198
-0.173937 4.73709 2.90333 4.12139 -2.96266 -2.15311 5.51354
12.3458 5.86064 4.41942 -12.1074 -4.25226 -2.54344 13.082
2.81099 1.20636 2.18782 3.1305 3.54067 1.17596 4.87024
5.50251 1.50704 2.86957 -4.90698 2.78199 0.809972 5.69859
1.44388 3.45611 5.17678 3.97042 -0.777016 -4.53849 6.07996
4.17899 5.9274 -4.03304 -2.78478 -3.01138 14.9359 15.4889
-2.34301 5.03497 1.53116 7.44627 -4.03593 1.97313 8.69649
4.55528 6.10662 5.30531 -2.49603 -3.95018 -6.34519 7.88007
1.69492 3.98014 5.06089 2.93517 -1.56242 0.992048 3.46995
1.93805 2.64494 5.47585 2.10392 -1.95598 -3.02061 4.1685
4.28619 4.89761 -0.204248 -2.73428 -2.19105 4.72515 5.88252
6.53752 3.88126 3.96442 -4.43192 -1.27331 -3.8702 6.0201
4.41024 5.86609 2.44732 -2.78676 -2.89172 2.48095 4.72051
4.0701 6.15889 5.48945 -2.91554 -2.27728 -4.95864 6.18664
2.44558 -5.08075 5.54556 1.69985 17.7197 -3.34347 18.1123
5.03042 5.625 2.8049 -3.38887 -4.40386 0.873512 5.62507
7.11355 4.63089 2.98826 -4.31485 -2.75486 -2.25803 5.59517
2.83781 5.23774 1.53016 1.60745 -10.5112 3.96655 11.3491
3.96676 1.72236 1.23349 -0.659404 3.86882 11.6241 12.2688
4.52951 0.858419 2.91032 -2.7316 3.17312 2.42767 4.83982
1.00642 2.48097 3.91731 3.43306 4.21017 -7.11275 8.95001
3.28493 5.41759 1.06119 1.71535 -9.64511 5.21148 11.0964
6.07323 4.53832 3.47749 -5.43113 -2.18871 -0.252302 5.861
0.638324 4.29061 3.73653 6.0694 -1.40903 -2.67628 6.78126
5.25701 3.82138 5.39788 -3.8101 0.0647689 -0.702707 3.8749
3.26706 5.44215 6.7046 2.12452 -10.9836 -3.12719 11.6161
2.79197 0.816525 2.45195 1.3508 -0.92035 2.83591 3.27324
5.94989 3.74271 4.34947 -4.33037 -2.25792 -1.96085 5.26262
5.3182 4.09606 0.17669 -2.72908 -3.07437 5.31061 6.71582
1.34953 3.32103 -0.0734636 10.9111 2.25708 3.52505 11.6864
7.36159 4.35356 1.16621 -5.53751 0.111312 3.63873 6.62697
0.223835 2.4409 3.13863 47.7595 1.78307 0.626121 47.7969
4.19215 5.56871 -17.1308 -1.86424 -3.28959 35.7689 35.9682
1.93976 5.15946 -1.55859 4.14184 -2.23523 5.6113 7.32378
5.38098 4.98595 1.50045 -3.70514 -6.04821 3.16453 7.76679
1.41901 3.52277 6.19321 2.85186 -4.00866 -3.39118 5.97516
1.79035 7.57694 5.12786 1.05881 -5.97438 -3.44457 6.97706
2.5382 0.9211 2.51834 -0.511221 7.89289 2.58473 8.32106
1.32885 2.96042 10.8681 3.11223 -1.33003 -8.94481 9.56371
1.22263 3.60509 0.133539 3.98648 -2.88201 11.3452 12.3658
1.54461 -0.812813 4.68305 3.13141 6.39099 -2.36278 7.49888
2.30357 1.65311 1.97404 4.20089 2.71531 7.80387 9.26935
5.33102 4.13081 0.232516 1.7319 -1.36343 3.47655 4.11641
2.45252 5.22506 1.83614 -0.873511 -3.99221 1.99879 4.54928
1.40245 5.04115 1.56647 4.1351 -2.7165 -0.433713 4.96654
3.96212 1.46361 6.14949 -1.98635 3.57375 -4.4803 6.0655
2.96151 5.32907 6.37112 2.47091 -3.32183 -5.03048 6.51504
3.6997 -0.129406 2.34453 -0.054438 5.7579 3.99068 7.00585
19.837 3.02326 0.711052 -18.6461 1.75164 2.98486 18.9646
3.6171 5.46012 0.373234 -0.970329 -5.90133 4.9012 7.73234
0.908077 2.53123 1.00989 2.18267 2.95963 5.25107 6.41071
1.9423 4.24963 -0.243008 4.32072 -2.02186 3.35918 5.83444
5.3742 1.29299 3.77953 -3.28162 4.71782 -0.572572 5.77536
6.10414 -5.03446 2.80923 -4.62527 12.8737 1.68631 13.783
2.30376 1.93995 5.44123 7.05358 3.3034 -3.56557 8.56614
4.29385 4.97991 5.9943 -2.47437 -4.14124 -2.15993 5.28561
4.24897 -1.67956 5.84569 -1.23431 6.94148 -4.54166 8.38655
5.44965 3.23464 5.07808 -4.43284 1.37894 -1.4735 4.8706
4.73866 7.28506 -2.94293 -1.96327 -6.60126 8.35228 10.8255
1.87777 7.16681 -2.29617 3.54999 -5.71491 5.74048 8.84396
7.02967 2.54098 1.22331 -12.702 2.1754 2.78065 13.1835
2.90503 -5.86267 2.23467 0.89915 11.4429 3.93668 12.1345
5.48806 2.61615 4.32301 -10.2292 2.18247 -3.37963 10.9919
2.84813 0.559796 2.52282 1.41867 4.41048 3.58973 5.86098
1.20597 5.38937 2.43402 3.95591 -2.4037 3.36032 5.72003
1.66336 3.09012 5.30628 3.26852 2.20627 -0.273674 3.95294
1.71439 -0.857359 4.96212 2.64902 6.24776 -2.95742 7.40257
5.22313 7.81347 4.89397 -5.27178 -5.7029 -3.56903 8.54709
4.57692 4.50049 6.46447 -2.49752 -2.12031 -0.820838 3.37744
4.51182 5.056 5.52095 -3.57511 -1.8864 -4.93614 6.38008
12.0896 0.960731 4.94153 -10.0722 3.38008 -4.49522 11.5361
0.620858 4.38252 1.12552 4.46778 -1.6271 4.99904 6.8992
2.66324 4.99048 7.06279 2.2227 -9.28985 -6.81848 11.736
3.45255 1.73237 108.97 1.28225 2.68827 -159.902 159.93
3.15245 0.733633 2.23869 -0.302695 4.98847 3.52596 6.11628
1.43921 2.8495 4.48891 2.70077 3.10225 -2.11908 4.62695
1.00385 2.69085 4.00654 3.65126 2.90625 -1.67551 4.95836
-5.0835 5.15372 4.64693 16.3189 -3.07846 -4.46404 17.1962
6.94144 4.15147 1.1292 -5.40221 -2.52876 3.11239 6.72797
2.53784 1.95958 1.08206 -0.845988 3.47192 3.37847 4.91772
15.4922 2.00283 1.35253 -20.9377 1.95699 3.30636 21.2873
2.48482 5.54032 2.20595 -0.0092803 -3.31979 3.83143 5.06961
1.82705 1.37721 2.66418 1.07334 4.03585 -0.890762 4.27008
4.30883 0.52262 2.85903 -3.17506 4.63707 0.277316 5.62675
3.0716 5.47667 -4.73975 1.36906 -3.47631 12.0175 12.5849
6.24382 -5.01555 2.66202 -5.44848 10.0645 0.0388328 11.4447
6.36366 2.13694 2.98647 -5.21448 1.84772 -2.36329 6.01581
2.51297 1.82045 5.6252 1.70899 3.20248 -4.60501 5.86367
3.31356 1.27518 6.35468 1.4057 4.46338 -3.75603 6.00046
5.80406 5.20451 2.7717 -3.98857 -4.13761 0.463622 5.76571
2.98831 5.23335 1.27043 1.66294 -4.80903 3.88502 6.402
1.62682 6.6404 5.10106 3.15028 -6.29743 -1.60214 7.22141
5.79598 3.63517 4.61528 -4.11983 -1.29969 -3.54971 5.5913
5.44889 1.50677 2.3922 -4.01618 2.9593 -1.40082 5.18165
2.50898 6.00108 5.40049 1.86357 -4.3249 -3.58642 5.91947
5.22514 5.69508 3.24849 -2.47001 -6.03561 -0.622821 6.55114
4.67786 1.31302 2.35011 -2.40472 3.3307 3.38732 5.32449
12.558 5.23728 3.43023 -12.0992 -3.28694 -0.854286 12.5668
0.4806 3.18519 4.09835 11.9655 0.287064 -4.27902 12.7108
5.03535 4.45899 4.97174 -3.76215 -2.73246 -3.16874 5.62682
5.92693 2.5561 3.94197 -4.83553 -0.955313 -1.54712 5.1661
5.27731 10.6982 5.72938 -4.58429 -8.90872 -3.37734 10.573
1.07868 2.14397 -5.1586 3.61583 0.37155 11.4125 11.9773
6.73589 5.15306 2.09571 -5.91122 -2.34923 -1.17223 6.46804
1.63704 2.00394 4.34413 5.82001 1.66982 -3.6276 7.05835
0.950948 4.27799 0.937401 11.0249 -2.48172 3.77204 11.9137
1.39527 3.08322 0.218737 2.62767 3.46712 5.16935 6.75631
5.90288 4.26943 10.4114 -3.15217 -3.87079 -7.7951 9.2565
2.63644 1.94154 6.99431 3.90006 1.67195 -6.29109 7.58839
4.90875 7.92583 5.09964 -2.78349 -6.14334 -3.26368 7.49267
13.3037 4.87312 1.25859 -12.0788 -2.9589 2.20473 12.6299
1.30164 1.85358 3.56386 3.91071 5.0844 0.854924 6.47114
4.55782 5.98471 2.83613 0.946549 -4.48866 -0.314068 4.59812
5.16002 4.93865 1.43156 -4.26994 -3.15469 7.52369 9.20817
4.5719 5.93525 5.34985 -3.0837 -1.17307 -4.10182 5.26405
2.8095 5.79581 2.24975 -0.66956 -5.38501 2.87951 6.14314
3.24676 6.21694 2.16307 -1.45613 -4.70936 2.44751 5.50351
3.24765 1.56094 6.98105 2.4782 2.15742 -13.0817 13.488
5.20996 5.71919 3.11096 -3.52984 -4.30549 -0.413269 5.58281
1.51777 3.38107 -0.749917 10.2518 -0.970219 6.44135 12.1463
2.30032 4.82403 5.56372 3.062 -0.969857 -5.62597 6.47827
4.53663 0.755026 3.04047 0.536017 5.19684 0.326201 5.23458
3.27408 1.53495 0.555285 1.66945 6.90507 4.49307 8.40564
2.43513 1.64151 1.93345 2.77084 3.66725 0.158231 4.59905
3.55501 1.32763 6.4339 0.487213 4.7565 -4.04897 6.26545
5.52567 2.9336 -31.6746 -4.23246 0.702405 36.5012 36.7525
4.98709 5.16745 1.90373 -2.64381 -4.1704 0.879776 5.01558
2.87544 1.38685 1.96158 2.01381 7.6817 3.26615 8.58671
2.11945 4.87188 5.3548 4.20931 -0.177252 -4.13586 5.90382
2.14983 2.36146 5.69299 4.89724 0.592401 -4.66619 6.79023
2.07466 1.76129 5.17251 2.36839 5.63983 -8.45872 10.4387
3.07275 6.63929 2.44596 1.96176 -4.97051 2.31211 5.8224
2.33532 1.21536 -4.00708 3.18046 4.08898 14.0747 14.9977
4.37204 2.08964 0.413206 -1.34151 3.44285 1.38851 3.94726
1.89975 2.71034 -0.130354 3.43499 1.90029 10.9005 11.5858
4.19112 5.02025 7.23793 -0.541403 -3.79842 -43.9911 44.1581
